Wagon ID,Wagon Number,Wagon Type,Zone Code,Zone Name,Division,Current Station,Destination Station,Cargo Type,Capacity (Tons),Current Load (Tons),Status,GPS Latitude,GPS Longitude,Speed (km/h),Temperature (°C),Last Updated Timestamp
WG00041,3920454041,BCN,NWR,North Western Railway,Chennai,Guntur,Nagpur,Automobiles,60,28.6,Running,14.451757,86.927525,38,39.4,2026-06-30 00:48:35
WG00042,6037206237,Tank,SER,South Eastern Railway,Nagpur,Guntur,Agra,Petroleum,60,34.2,Running,17.479527,88.227466,20,37.3,2026-06-29 19:16:35
WG00043,2982624564,BCN,SR,Southern Railway,Kolkata,Bhopal,Secunderabad,Coal,60,49.0,Idle,9.292939,69.638928,94,53.1,2026-06-29 14:47:35
WG00044,4374330439,Covered,WR,Western Railway,Nagpur,Hyderabad,Chennai,Food Grains,60,24.9,Idle,10.792261,85.473558,75,51.2,2026-06-29 21:43:35
WG00045,8675421340,Flat,CR,Central Railway,Nagpur,Chennai,Bhopal,Automobiles,65,63.2,Running,21.939039,71.119462,48,28.0,2026-06-29 17:12:35
WG00046,5328952808,Hopper,CR,Central Railway,Kolkata,Vijayawada,Nagpur,Containers,55,15.2,Loading,16.380223,88.579959,62,53.9,2026-06-29 16:30:35
WG00047,8829860846,Covered,NER,North Eastern Railway,Jaipur,Bhopal,Visakhapatnam,Food Grains,50,34.1,Delayed,28.737644,71.407412,69,49.5,2026-06-29 21:44:35
WG00048,5561897666,Hopper,NER,North Eastern Railway,Lucknow,Howrah,Guntur,Food Grains,65,52.0,Loading,27.242805,75.849338,6,49.3,2026-06-29 17:57:35
WG00049,3959133855,BCN,CR,Central Railway,Hyderabad,Nagpur,Warangal,Iron Ore,50,47.1,Loading,17.993601,68.925236,44,48.8,2026-06-29 21:40:35
WG00050,4090912220,Covered,NWR,North Western Railway,Chennai,Nagpur,Bhopal,Automobiles,50,27.9,Maintenance,27.594904,75.72337,84,39.8,2026-06-29 16:30:35
WG00051,2741964352,Hopper,NER,North Eastern Railway,Hyderabad,Visakhapatnam,Bhopal,Steel,70,58.3,Loading,22.818532,83.287879,66,44.8,2026-06-29 14:09:35
WG00052,4367706041,Tank,ER,Eastern Railway,Jaipur,Hyderabad,Chennai,Petroleum,75,32.1,Idle,27.586788,87.898848,95,34.4,2026-06-30 00:29:35
WG00053,9557008900,BTPN,ER,Eastern Railway,Lucknow,Visakhapatnam,Hyderabad,Automobiles,70,69.3,Delayed,25.333538,74.983522,78,48.1,2026-06-29 17:43:35
WG00054,2785116185,Covered,NWR,North Western Railway,Secunderabad,Howrah,Vijayawada,Iron Ore,70,38.9,Unloading,24.838437,77.77829,56,46.9,2026-06-29 20:44:35
WG00055,2395821831,Tank,SER,South Eastern Railway,Nagpur,Delhi,Howrah,Cement,55,39.0,Loading,16.800672,80.704566,40,24.6,2026-06-29 18:45:35
WG00056,2093002380,Tank,WR,Western Railway,Visakhapatnam,Guntur,Delhi,Containers,70,55.1,Loading,12.292474,76.028963,51,42.3,2026-06-30 01:43:35
WG00057,6977487851,Tank,CR,Central Railway,Nagpur,Nagpur,Warangal,Petroleum,60,19.4,Delayed,25.899275,72.979394,74,44.3,2026-06-29 15:17:35
WG00058,2109831454,Flat,NWR,North Western Railway,Hyderabad,Howrah,Agra,Petroleum,60,18.9,Running,27.89078,88.807849,80,52.7,2026-06-29 16:05:35
WG00059,4901526845,BOXN,NWR,North Western Railway,Mumbai,Mumbai,Warangal,Automobiles,75,72.9,Delayed,13.823346,88.084757,89,29.6,2026-06-29 19:20:35
WG00060,3635709560,BCN,NWR,North Western Railway,Jaipur,Secunderabad,Guntur,Containers,75,25.6,Running,10.099315,86.097547,98,45.6,2026-06-30 01:41:35
WG00061,9425213627,BCN,WR,Western Railway,Delhi,Chennai,Visakhapatnam,Coal,50,43.3,Delayed,22.867082,77.108653,28,30.5,2026-06-29 19:08:35
WG00062,8619912411,BCN,SWR,South Western Railway,Delhi,Kanpur,Delhi,Iron Ore,75,63.4,Running,9.126514,77.861962,19,29.8,2026-06-29 22:49:35
WG00063,2400144314,Covered,ER,Eastern Railway,Visakhapatnam,Mumbai,Chennai,Iron Ore,65,20.7,Loading,21.02919,69.541792,45,44.8,2026-06-29 17:36:35
WG00064,6299236495,BCN,SCR,South Central Railway,Mumbai,Visakhapatnam,Hyderabad,Containers,65,49.8,Maintenance,13.469067,68.193834,89,50.1,2026-06-29 22:49:35
WG00065,2393065340,Covered,SWR,South Western Railway,Kolkata,Bhopal,Agra,Steel,55,29.3,Loading,21.998516,77.361848,49,30.3,2026-06-29 14:27:35
WG00066,2163809461,BTPN,SER,South Eastern Railway,Nagpur,Mumbai,Warangal,Petroleum,65,34.3,Unloading,8.37643,79.374261,64,34.0,2026-06-29 22:58:35
WG00067,2073097071,Tank,SR,Southern Railway,Secunderabad,Secunderabad,Hyderabad,Petroleum,55,27.3,Running,29.088974,81.307029,36,48.0,2026-06-29 14:48:35
WG00068,9356978986,BOXN,ER,Eastern Railway,Mumbai,Guntur,Warangal,Containers,70,40.9,Delayed,21.624368,81.040589,70,39.2,2026-06-30 00:22:35
WG00069,5988914405,Covered,SER,South Eastern Railway,Visakhapatnam,Vijayawada,Guntur,Steel,50,30.3,Delayed,27.033654,82.370503,83,25.0,2026-06-29 21:47:35
WG00070,9271349462,Hopper,NWR,North Western Railway,Delhi,Hyderabad,Howrah,Containers,65,34.0,Unloading,10.05338,71.635665,22,42.1,2026-06-30 01:46:35
WG00071,4830046841,BOXN,SER,South Eastern Railway,Secunderabad,Secunderabad,Howrah,Food Grains,75,74.1,Delayed,21.837101,68.056991,56,25.4,2026-06-29 22:20:35
WG00072,5843519163,Covered,CR,Central Railway,Chennai,Warangal,Vijayawada,Coal,50,32.7,Running,23.942301,75.135494,16,29.6,2026-06-29 18:04:35
WG00073,1420590893,BTPN,NWR,North Western Railway,Kolkata,Hyderabad,Kanpur,Automobiles,60,21.3,Maintenance,23.854154,74.44485,51,53.6,2026-06-29 18:32:35
WG00074,7256000847,Flat,WR,Western Railway,Kolkata,Hyderabad,Secunderabad,Containers,70,30.5,Running,10.845737,88.189029,51,51.5,2026-06-30 00:52:35
WG00075,8172101359,Flat,SER,South Eastern Railway,Secunderabad,Warangal,Delhi,Food Grains,75,74.4,Maintenance,9.263784,79.03289,66,32.7,2026-06-29 22:21:35
WG00076,7221642811,Covered,SCR,South Central Railway,Kolkata,Howrah,Kanpur,Automobiles,70,49.3,Loading,26.490621,82.566147,32,46.4,2026-06-29 16:46:35
WG00077,3296607859,Hopper,WR,Western Railway,Visakhapatnam,Warangal,Hyderabad,Coal,50,36.7,Idle,28.877033,86.97776,39,54.5,2026-06-29 21:14:35
WG00078,5318069610,Flat,NER,North Eastern Railway,Jaipur,Howrah,Nagpur,Containers,60,30.6,Delayed,23.885498,87.039051,80,50.0,2026-06-29 22:26:35
WG00079,5384317393,Covered,SCR,South Central Railway,Chennai,Hyderabad,Bhopal,Coal,75,66.8,Loading,11.141687,68.161093,1,23.9,2026-06-29 22:54:35
WG00080,4627737009,Hopper,NWR,North Western Railway,Secunderabad,Hyderabad,Mumbai,Containers,65,64.8,Maintenance,25.539651,69.566106,74,52.3,2026-06-29 23:50:35
WG00081,2268774560,BTPN,SCR,South Central Railway,Visakhapatnam,Secunderabad,Chennai,Containers,60,29.2,Idle,17.381999,81.477172,61,47.0,2026-06-29 23:54:35
WG00082,6831258839,Hopper,SWR,South Western Railway,Chennai,Guntur,Nagpur,Food Grains,60,47.3,Idle,10.792326,84.293477,39,20.4,2026-06-29 20:26:35
WG00083,5771842808,Covered,SCR,South Central Railway,Jaipur,Visakhapatnam,Bhopal,Automobiles,60,18.9,Running,9.501786,76.001472,61,22.1,2026-06-29 19:47:35
WG00084,3544583897,BCN,NER,North Eastern Railway,Hyderabad,Warangal,Delhi,Cement,75,51.2,Unloading,21.350188,80.472854,81,26.5,2026-06-29 15:20:35
WG00085,4586412553,Hopper,SR,Southern Railway,Mumbai,Secunderabad,Kanpur,Coal,50,45.4,Idle,15.150492,77.125984,31,52.0,2026-06-29 20:05:35
WG00086,2215462606,BCN,NER,North Eastern Railway,Hyderabad,Bhopal,Visakhapatnam,Steel,60,19.7,Loading,29.390933,78.475497,21,38.4,2026-06-29 15:48:35
WG00087,5011657493,Hopper,NWR,North Western Railway,Secunderabad,Agra,Chennai,Cement,70,27.1,Delayed,28.173279,85.398181,44,54.4,2026-06-29 14:21:35
WG00088,7496622317,Hopper,ER,Eastern Railway,Delhi,Kanpur,Guntur,Cement,55,34.5,Idle,26.04654,75.248875,92,28.0,2026-06-29 21:15:35
WG00089,9141675864,BCN,SR,Southern Railway,Chennai,Delhi,Agra,Iron Ore,50,39.3,Idle,24.657521,81.165001,62,22.4,2026-06-29 20:24:35
WG00090,2649606256,Hopper,SWR,South Western Railway,Delhi,Delhi,Kanpur,Iron Ore,60,35.3,Idle,24.561679,88.687438,86,37.4,2026-06-29 14:45:35
WG00091,9691336249,BOXN,SER,South Eastern Railway,Secunderabad,Bhopal,Chennai,Containers,65,32.3,Maintenance,19.066193,79.955429,68,29.4,2026-06-29 15:29:35
WG00092,2730328686,BOXN,ER,Eastern Railway,Mumbai,Vijayawada,Hyderabad,Cement,50,38.6,Loading,22.391047,77.754035,39,33.2,2026-06-30 00:43:35
WG00093,8093077450,Tank,SER,South Eastern Railway,Secunderabad,Howrah,Secunderabad,Food Grains,65,23.5,Idle,15.060084,77.390773,24,30.5,2026-06-29 21:29:35
WG00094,4628621377,BCN,NR,North Railway,Hyderabad,Delhi,Bhopal,Containers,50,13.9,Unloading,10.788618,72.311831,63,48.1,2026-06-29 20:50:35
WG00095,3658987504,Tank,SER,South Eastern Railway,Kolkata,Guntur,Howrah,Petroleum,65,25.0,Running,14.97256,79.965383,53,23.4,2026-06-30 01:19:35
WG00096,9846598553,Hopper,NR,North Railway,Chennai,Nagpur,Visakhapatnam,Automobiles,50,45.5,Maintenance,29.944394,69.870312,47,46.5,2026-06-30 01:27:35
WG00097,7252198928,BTPN,SR,Southern Railway,Jaipur,Visakhapatnam,Kanpur,Petroleum,55,45.2,Maintenance,12.907271,78.444208,22,34.4,2026-06-30 01:40:35
WG00098,5539604357,BTPN,NER,North Eastern Railway,Nagpur,Howrah,Delhi,Steel,70,54.0,Running,23.98808,82.14231,8,26.3,2026-06-29 18:02:35
WG00099,8518758202,Flat,SER,South Eastern Railway,Secunderabad,Delhi,Kanpur,Iron Ore,70,69.2,Loading,10.177395,79.862697,36,53.3,2026-06-29 20:27:35
WG00100,7259620972,BOXN,ER,Eastern Railway,Jaipur,Hyderabad,Howrah,Iron Ore,60,55.6,Idle,18.844365,75.437001,93,44.9,2026-06-29 23:16:35
WG00101,9337868552,Covered,SR,Southern Railway,Kolkata,Delhi,Kanpur,Cement,75,19.4,Maintenance,19.603875,78.118663,59,42.3,2026-06-29 23:35:35
WG00102,1573756546,BOXN,SCR,South Central Railway,Visakhapatnam,Delhi,Agra,Iron Ore,60,26.4,Unloading,25.481271,85.524093,15,33.7,2026-06-29 22:07:35
WG00103,2572118863,BTPN,SWR,South Western Railway,Delhi,Warangal,Howrah,Petroleum,50,43.4,Loading,12.476994,88.892502,96,43.9,2026-06-29 21:08:35
WG00104,2096861109,Tank,NWR,North Western Railway,Secunderabad,Mumbai,Howrah,Automobiles,55,19.6,Idle,24.80013,73.531737,31,22.0,2026-06-29 14:31:35
WG00105,9428131617,Flat,SER,South Eastern Railway,Hyderabad,Agra,Delhi,Automobiles,55,23.1,Maintenance,10.468599,87.83232,23,35.4,2026-06-29 19:49:35
WG00106,1333025000,Covered,CR,Central Railway,Chennai,Chennai,Howrah,Cement,60,21.6,Idle,12.863354,84.657836,58,45.9,2026-06-29 19:19:35
WG00107,2496602311,Flat,CR,Central Railway,Mumbai,Guntur,Chennai,Cement,75,30.3,Running,26.694282,81.722961,23,43.5,2026-06-30 01:28:35
WG00108,7445190655,BCN,CR,Central Railway,Jaipur,Delhi,Mumbai,Coal,70,53.6,Idle,16.869504,72.728885,60,52.2,2026-06-30 01:34:35
WG00109,5110220351,Tank,SCR,South Central Railway,Hyderabad,Vijayawada,Kanpur,Containers,75,63.7,Loading,16.383621,77.818694,2,28.8,2026-06-30 00:59:35
WG00110,2403636744,Flat,ER,Eastern Railway,Lucknow,Nagpur,Secunderabad,Iron Ore,65,17.3,Idle,16.2373,68.172234,88,44.4,2026-06-29 17:48:35
WG00111,2606611457,Tank,WR,Western Railway,Delhi,Warangal,Guntur,Containers,60,16.3,Idle,19.146355,85.068391,93,34.0,2026-06-29 17:51:35
WG00112,5207004479,Flat,WR,Western Railway,Chennai,Vijayawada,Visakhapatnam,Coal,65,37.9,Loading,23.471838,77.037486,9,25.7,2026-06-29 16:10:35
WG00113,6277584440,Hopper,NER,North Eastern Railway,Lucknow,Chennai,Visakhapatnam,Coal,55,31.8,Delayed,24.458106,70.350134,2,21.5,2026-06-29 20:17:35
WG00114,1806422544,BOXN,SWR,South Western Railway,Chennai,Hyderabad,Delhi,Iron Ore,75,74.5,Unloading,20.162228,79.800183,91,35.2,2026-06-29 20:04:35
WG00115,4695131604,BOXN,SWR,South Western Railway,Secunderabad,Howrah,Bhopal,Steel,75,38.1,Loading,23.917834,78.203211,21,45.5,2026-06-29 13:57:35
WG00116,8232841813,BCN,SCR,South Central Railway,Nagpur,Secunderabad,Hyderabad,Petroleum,65,31.4,Delayed,9.611778,86.903488,96,20.3,2026-06-29 18:53:35
WG00117,9373104751,BTPN,NR,North Railway,Delhi,Howrah,Kanpur,Automobiles,50,24.8,Maintenance,8.968513,88.970596,3,38.3,2026-06-29 18:52:35
WG00118,9737644923,BTPN,SER,South Eastern Railway,Secunderabad,Howrah,Secunderabad,Containers,60,49.7,Maintenance,22.673866,83.737277,5,34.0,2026-06-29 15:14:35
WG00119,2392022490,Hopper,SER,South Eastern Railway,Hyderabad,Bhopal,Kanpur,Food Grains,50,38.0,Unloading,27.403954,84.567474,82,25.9,2026-06-29 15:53:35
WG00120,7275292627,Tank,NWR,North Western Railway,Jaipur,Mumbai,Bhopal,Petroleum,65,41.8,Maintenance,24.226811,88.086545,88,50.4,2026-06-29 20:12:35
WG00121,7950575562,Tank,SR,Southern Railway,Jaipur,Warangal,Bhopal,Iron Ore,60,59.9,Maintenance,19.711843,80.520628,99,52.0,2026-06-29 21:30:35
WG00122,7950289247,Hopper,SR,Southern Railway,Hyderabad,Bhopal,Kanpur,Petroleum,50,18.9,Unloading,22.728067,86.044184,17,39.4,2026-06-29 17:57:35
WG00123,7459100945,BTPN,WR,Western Railway,Lucknow,Delhi,Howrah,Cement,55,22.8,Maintenance,10.0085,82.060283,8,52.0,2026-06-29 14:42:35
WG00124,5062623348,Tank,ER,Eastern Railway,Delhi,Howrah,Hyderabad,Steel,70,66.5,Loading,18.287634,71.104435,43,51.0,2026-06-29 21:15:35
WG00125,3561877615,BOXN,SWR,South Western Railway,Hyderabad,Nagpur,Secunderabad,Steel,55,34.3,Running,11.105308,80.857115,53,35.9,2026-06-29 14:45:35
WG00126,1845461521,Flat,WR,Western Railway,Kolkata,Hyderabad,Delhi,Automobiles,75,38.8,Unloading,12.062505,87.10117,73,38.7,2026-06-29 19:29:35
WG00127,8909445543,Hopper,ER,Eastern Railway,Jaipur,Mumbai,Kanpur,Iron Ore,75,60.6,Idle,14.8782,72.026787,55,45.0,2026-06-29 18:52:35
WG00128,8203594234,Covered,SWR,South Western Railway,Kolkata,Mumbai,Guntur,Steel,75,46.1,Maintenance,27.638098,70.578861,83,23.7,2026-06-29 22:25:35
WG00129,8699700552,Covered,NER,North Eastern Railway,Visakhapatnam,Kanpur,Howrah,Cement,60,47.1,Loading,21.040433,86.592242,75,50.8,2026-06-29 15:05:35
WG00130,1405814934,BTPN,SCR,South Central Railway,Kolkata,Hyderabad,Nagpur,Cement,50,38.5,Maintenance,24.604317,77.255031,90,42.9,2026-06-29 22:37:35
WG00131,9872471739,BCN,SER,South Eastern Railway,Hyderabad,Vijayawada,Nagpur,Containers,70,48.5,Maintenance,15.468513,81.931914,32,39.3,2026-06-30 00:49:35
WG00132,1816839272,Tank,NWR,North Western Railway,Lucknow,Bhopal,Chennai,Automobiles,65,40.2,Loading,10.335663,72.84192,52,42.5,2026-06-29 13:57:35
WG00133,9487292544,BOXN,CR,Central Railway,Nagpur,Kanpur,Hyderabad,Coal,55,52.1,Idle,23.408741,77.142308,85,53.1,2026-06-29 20:39:35
WG00134,7011555865,Tank,SWR,South Western Railway,Delhi,Mumbai,Secunderabad,Automobiles,55,19.4,Maintenance,20.055348,80.48795,33,23.7,2026-06-30 01:29:35
WG00135,1380316276,Flat,SWR,South Western Railway,Delhi,Secunderabad,Bhopal,Coal,70,19.2,Running,15.747808,84.606056,99,32.9,2026-06-29 17:10:35
WG00136,3164277679,BCN,SER,South Eastern Railway,Delhi,Mumbai,Visakhapatnam,Food Grains,65,26.7,Idle,9.764474,84.954021,27,50.1,2026-06-29 21:48:35
WG00137,1799611715,BTPN,NER,North Eastern Railway,Chennai,Secunderabad,Agra,Petroleum,60,31.5,Running,23.808005,75.272269,9,29.6,2026-06-30 00:54:35
WG00138,7864171421,BTPN,SWR,South Western Railway,Nagpur,Bhopal,Chennai,Cement,60,34.8,Loading,25.023893,74.806487,17,40.9,2026-06-29 18:07:35
WG00139,4328131653,BCN,NWR,North Western Railway,Secunderabad,Hyderabad,Nagpur,Petroleum,50,17.6,Maintenance,30.19313,74.595187,82,53.6,2026-06-29 16:41:35
WG00140,9304418486,BTPN,NR,North Railway,Chennai,Bhopal,Howrah,Food Grains,70,51.0,Maintenance,8.856295,88.680224,49,38.4,2026-06-29 16:02:35
WG00141,6833837855,Covered,NWR,North Western Railway,Nagpur,Bhopal,Vijayawada,Petroleum,70,47.2,Maintenance,19.041959,84.76992,13,28.6,2026-06-29 21:05:35
WG00142,1074179647,BOXN,SR,Southern Railway,Hyderabad,Agra,Kanpur,Steel,50,39.1,Loading,10.844878,88.987396,97,52.7,2026-06-29 21:27:35
WG00143,7293098502,BCN,ER,Eastern Railway,Hyderabad,Hyderabad,Bhopal,Iron Ore,60,59.7,Idle,30.79285,84.686565,91,44.6,2026-06-29 20:23:35
WG00144,7389320872,BOXN,CR,Central Railway,Nagpur,Secunderabad,Hyderabad,Coal,60,54.3,Unloading,22.4592,76.012431,33,54.9,2026-06-29 20:40:35
WG00145,4191114551,BTPN,WR,Western Railway,Nagpur,Delhi,Visakhapatnam,Food Grains,60,25.6,Loading,29.682893,78.012656,97,27.3,2026-06-29 16:36:35
WG00146,4076341251,Flat,NWR,North Western Railway,Chennai,Warangal,Vijayawada,Cement,65,63.1,Maintenance,8.351755,71.161503,14,36.2,2026-06-29 13:54:35
WG00147,7317906028,BCN,SR,Southern Railway,Hyderabad,Agra,Nagpur,Food Grains,60,52.8,Loading,15.632522,83.309665,17,53.6,2026-06-29 14:46:35
WG00148,3169308798,Covered,ER,Eastern Railway,Chennai,Kanpur,Nagpur,Cement,60,45.2,Unloading,17.429556,74.381342,46,46.1,2026-06-29 14:25:35
WG00149,5466526513,Tank,NER,North Eastern Railway,Jaipur,Hyderabad,Guntur,Food Grains,70,45.5,Running,15.081807,72.003497,27,43.5,2026-06-29 18:58:35
WG00150,7631563045,Hopper,SCR,South Central Railway,Hyderabad,Agra,Chennai,Automobiles,60,28.3,Running,11.794761,87.014289,42,50.7,2026-06-29 20:07:35
WG00151,2436111216,BCN,CR,Central Railway,Hyderabad,Delhi,Warangal,Coal,60,56.5,Idle,11.386222,74.820629,40,41.9,2026-06-29 21:13:35
WG00152,4731083772,Tank,SR,Southern Railway,Kolkata,Warangal,Nagpur,Containers,60,49.2,Unloading,22.506758,88.743175,28,35.1,2026-06-30 01:29:35
WG00153,2823258027,BTPN,ER,Eastern Railway,Nagpur,Delhi,Secunderabad,Automobiles,70,57.4,Delayed,20.368632,85.108194,11,49.5,2026-06-29 23:28:35
WG00154,4489134559,BOXN,NER,North Eastern Railway,Chennai,Chennai,Nagpur,Food Grains,70,36.4,Loading,25.484978,80.865886,39,20.5,2026-06-30 00:32:35
WG00155,5135320789,BOXN,SCR,South Central Railway,Jaipur,Delhi,Vijayawada,Containers,60,17.8,Idle,30.638149,87.268121,80,35.1,2026-06-29 19:34:35
WG00156,1608800905,Covered,SR,Southern Railway,Chennai,Delhi,Secunderabad,Iron Ore,70,54.1,Delayed,19.596972,71.137674,43,25.9,2026-06-29 22:51:35
WG00157,3363141798,BOXN,WR,Western Railway,Lucknow,Mumbai,Vijayawada,Petroleum,60,17.3,Running,20.022785,78.713186,100,30.5,2026-06-29 17:47:35
