Wagon ID,Zone,Zone Name,Wagon Type,Temperature,Wheel,Brakes,Battery,GPS,Health Score,Status
WG00116,SE,South-East,BCN,20°C,Good,Fair,98%,Active,92%,Healthy
WG00117,NE,North-East,BTPN,38°C,Good,Fair,56%,Offline,77%,Warning
WG00118,E,East,BTPN,34°C,Fair,Good,38%,Offline,67%,Critical
WG00119,NE,North-East,Hopper,26°C,Good,Good,91%,Weak,99%,Healthy
WG00120,EW,East-West,Tank,50°C,Good,Worn,40%,Offline,67%,Critical
WG00121,NS,North-South,Tank,52°C,Critical,Fair,92%,Offline,57%,Critical
WG00122,W,West,Hopper,39°C,Fair,Fair,81%,Active,84%,Warning
WG00123,NS,North-South,BTPN,52°C,Good,Good,95%,Offline,99%,Healthy
WG00124,SE,South-East,Tank,51°C,Good,Fair,85%,Active,92%,Healthy
WG00125,WN,West-North,BOXN,36°C,Fair,Good,60%,Active,87%,Warning
WG00126,NW,North-West,Flat,39°C,Good,Fair,60%,Active,87%,Warning
WG00127,ES,East-South,Hopper,45°C,Good,Good,67%,Active,95%,Healthy
WG00128,NE,North-East,Covered,24°C,Good,Good,54%,Offline,85%,Warning
WG00129,N,North,Covered,51°C,Good,Good,52%,Active,85%,Warning
WG00130,ES,East-South,BTPN,43°C,Good,Worn,78%,Offline,77%,Warning
WG00131,W,West,BCN,39°C,Worn,Fair,74%,Offline,69%,Critical
WG00132,SW,South-West,Tank,42°C,Worn,Fair,27%,Active,49%,Critical
WG00133,SE,South-East,BOXN,53°C,Worn,Good,25%,Active,57%,Critical
WG00134,NS,North-South,Tank,24°C,Good,Fair,78%,Offline,87%,Warning
WG00135,W,West,Flat,33°C,Good,Good,53%,Active,85%,Warning
WG00136,N,North,BCN,50°C,Good,Fair,74%,Active,87%,Warning
WG00137,SW,South-West,BTPN,30°C,Worn,Worn,46%,Offline,49%,Critical
WG00138,WN,West-North,BTPN,41°C,Good,Good,93%,Active,99%,Healthy
WG00139,SW,South-West,BCN,54°C,Good,Good,28%,Offline,75%,Warning
WG00140,W,West,BTPN,38°C,Good,Good,84%,Offline,99%,Healthy
WG00141,SW,South-West,Covered,29°C,Good,Good,66%,Offline,95%,Healthy
WG00142,E,East,BOXN,53°C,Good,Critical,73%,Active,60%,Critical
WG00143,SW,South-West,BCN,45°C,Good,Fair,35%,Active,67%,Critical
WG00144,WN,West-North,BOXN,55°C,Good,Good,69%,Offline,95%,Healthy
WG00145,S,South,BTPN,27°C,Fair,Worn,30%,Active,49%,Critical
WG00146,SW,South-West,Flat,36°C,Fair,Good,27%,Offline,67%,Critical
WG00147,S,South,BCN,54°C,Fair,Good,85%,Active,92%,Healthy
WG00148,NW,North-West,Covered,46°C,Fair,Good,57%,Active,77%,Warning
WG00149,NE,North-East,Tank,44°C,Fair,Good,39%,Active,67%,Critical
WG00150,SW,South-West,Hopper,51°C,Worn,Good,28%,Weak,57%,Critical
WG00151,EW,East-West,BCN,42°C,Good,Fair,73%,Active,87%,Warning
WG00152,NS,North-South,Tank,35°C,Good,Fair,56%,Weak,77%,Warning
WG00153,SW,South-West,BTPN,50°C,Fair,Good,40%,Active,77%,Warning
WG00154,ES,East-South,BOXN,20°C,Good,Good,93%,Active,99%,Healthy
WG00155,S,South,BOXN,35°C,Good,Good,68%,Active,95%,Healthy
WG00156,NW,North-West,Covered,26°C,Critical,Fair,80%,Active,57%,Critical
WG00157,EW,East-West,BOXN,30°C,Good,Fair,44%,Offline,77%,Warning
WG00158,SE,South-East,BTPN,52°C,Fair,Worn,59%,Active,59%,Critical
WG00159,NW,North-West,BOXN,48°C,Good,Fair,84%,Active,92%,Healthy
WG00160,E,East,BCN,38°C,Worn,Good,56%,Offline,67%,Critical
WG00161,ES,East-South,Covered,47°C,Good,Good,82%,Active,99%,Healthy
WG00162,S,South,Flat,52°C,Good,Good,73%,Offline,95%,Healthy
WG00163,WN,West-North,Hopper,36°C,Good,Good,66%,Active,95%,Healthy
WG00164,ES,East-South,BTPN,51°C,Good,Fair,68%,Weak,87%,Warning
WG00165,W,West,BTPN,32°C,Good,Worn,96%,Active,82%,Warning
WG00166,WN,West-North,BTPN,39°C,Good,Fair,77%,Active,87%,Warning
WG00167,WN,West-North,BCN,40°C,Good,Good,87%,Offline,99%,Healthy
WG00168,WN,West-North,BOXN,40°C,Good,Fair,62%,Active,87%,Warning
WG00169,EW,East-West,Tank,28°C,Good,Good,72%,Active,95%,Healthy
WG00170,ES,East-South,BCN,50°C,Good,Fair,95%,Active,92%,Healthy
WG00171,SE,South-East,Tank,38°C,Good,Fair,57%,Active,77%,Warning
WG00172,WN,West-North,Hopper,35°C,Critical,Fair,93%,Active,57%,Critical
WG00173,SE,South-East,BCN,47°C,Good,Fair,86%,Active,92%,Healthy
WG00174,ES,East-South,Hopper,37°C,Critical,Worn,61%,Active,42%,Critical
WG00175,NW,North-West,Flat,42°C,Good,Good,71%,Active,95%,Healthy
WG00176,S,South,Hopper,36°C,Good,Good,60%,Active,95%,Healthy
WG00177,WN,West-North,Hopper,43°C,Fair,Fair,41%,Active,69%,Critical
WG00178,NS,North-South,BTPN,47°C,Good,Good,26%,Active,75%,Warning
WG00179,NS,North-South,BCN,35°C,Critical,Good,48%,Offline,50%,Critical
WG00180,NE,North-East,Flat,33°C,Good,Good,86%,Active,99%,Healthy
WG00181,WN,West-North,Flat,45°C,Fair,Good,98%,Active,92%,Healthy
WG00182,S,South,BTPN,32°C,Worn,Good,97%,Active,82%,Warning
WG00183,NS,North-South,BTPN,47°C,Fair,Fair,96%,Active,84%,Warning
WG00184,SW,South-West,BCN,40°C,Fair,Good,53%,Weak,77%,Warning
WG00185,SE,South-East,Tank,48°C,Worn,Critical,63%,Active,42%,Critical
WG00186,SW,South-West,Hopper,23°C,Fair,Fair,32%,Weak,59%,Critical
WG00187,NE,North-East,BCN,34°C,Fair,Good,51%,Active,77%,Warning
WG00188,NW,North-West,BCN,38°C,Good,Good,55%,Active,85%,Warning
WG00189,N,North,Covered,37°C,Fair,Good,82%,Offline,92%,Healthy
WG00190,NS,North-South,BOXN,44°C,Good,Fair,29%,Active,67%,Critical
WG00191,SE,South-East,BOXN,21°C,Good,Good,83%,Active,99%,Healthy
WG00192,S,South,Flat,51°C,Good,Good,50%,Active,85%,Warning
WG00193,SE,South-East,Flat,40°C,Worn,Good,59%,Active,67%,Critical
WG00194,S,South,BOXN,40°C,Good,Worn,64%,Weak,77%,Warning
WG00195,NW,North-West,BCN,54°C,Good,Fair,81%,Offline,92%,Healthy
WG00196,NE,North-East,Tank,34°C,Worn,Good,76%,Active,77%,Warning
WG00197,EW,East-West,Covered,43°C,Good,Worn,35%,Offline,57%,Critical
WG00198,SW,South-West,Hopper,42°C,Fair,Good,66%,Active,87%,Warning
WG00199,E,East,BTPN,54°C,Good,Good,98%,Active,99%,Healthy
WG00200,NE,North-East,BOXN,28°C,Good,Fair,59%,Offline,77%,Warning
WG00201,SW,South-West,Flat,22°C,Good,Fair,47%,Weak,77%,Warning
WG00202,SW,South-West,Covered,53°C,Critical,Good,48%,Offline,50%,Critical
WG00203,S,South,BTPN,38°C,Critical,Good,87%,Active,65%,Critical
WG00204,WN,West-North,BCN,40°C,Fair,Worn,66%,Active,69%,Critical
WG00205,W,West,BOXN,48°C,Good,Worn,88%,Active,82%,Warning
WG00206,NW,North-West,BOXN,51°C,Good,Good,95%,Active,99%,Healthy
WG00207,N,North,BCN,40°C,Critical,Good,39%,Active,40%,Critical
WG00208,EW,East-West,BCN,48°C,Fair,Good,25%,Offline,67%,Critical
WG00209,NW,North-West,Hopper,44°C,Good,Good,77%,Active,95%,Healthy
WG00210,ES,East-South,Tank,31°C,Fair,Fair,88%,Offline,84%,Warning
WG00211,NS,North-South,BCN,38°C,Good,Good,51%,Active,85%,Warning
WG00212,N,North,BTPN,20°C,Good,Critical,87%,Offline,65%,Critical
WG00213,W,West,BTPN,49°C,Fair,Good,55%,Active,77%,Warning
WG00214,S,South,BOXN,49°C,Good,Critical,77%,Weak,60%,Critical
WG00215,WN,West-North,BTPN,49°C,Worn,Fair,84%,Active,74%,Warning
WG00216,NE,North-East,BCN,55°C,Good,Good,62%,Active,95%,Healthy
WG00217,S,South,BTPN,28°C,Good,Good,85%,Active,99%,Healthy
WG00218,EW,East-West,Tank,49°C,Fair,Good,90%,Offline,92%,Healthy
WG00219,NW,North-West,Tank,46°C,Good,Fair,33%,Active,67%,Critical
WG00220,ES,East-South,BTPN,41°C,Good,Good,89%,Active,99%,Healthy
WG00221,NS,North-South,BOXN,40°C,Worn,Good,87%,Active,82%,Warning
WG00222,NS,North-South,Flat,36°C,Good,Good,67%,Offline,95%,Healthy
WG00223,SE,South-East,Covered,34°C,Worn,Worn,83%,Offline,64%,Critical
WG00224,NW,North-West,Tank,55°C,Good,Good,55%,Active,85%,Warning
WG00225,E,East,Hopper,36°C,Good,Good,30%,Weak,75%,Warning
WG00226,WN,West-North,BTPN,35°C,Good,Fair,73%,Offline,87%,Warning
WG00227,SW,South-West,BCN,49°C,Good,Good,44%,Active,85%,Warning
WG00228,EW,East-West,BOXN,39°C,Worn,Worn,67%,Active,59%,Critical
WG00229,NS,North-South,Hopper,46°C,Worn,Good,92%,Active,82%,Warning
WG00230,EW,East-West,Covered,53°C,Good,Fair,44%,Active,77%,Warning
WG00231,NE,North-East,Covered,20°C,Fair,Worn,75%,Offline,69%,Critical
WG00232,NW,North-West,Hopper,28°C,Good,Good,93%,Active,99%,Healthy
WG00233,S,South,BTPN,33°C,Worn,Good,87%,Offline,82%,Warning
WG00234,NS,North-South,Hopper,32°C,Good,Fair,33%,Active,67%,Critical
WG00235,W,West,BOXN,43°C,Fair,Good,54%,Active,77%,Warning
WG00236,W,West,Covered,20°C,Good,Fair,37%,Weak,67%,Critical
WG00237,NW,North-West,Covered,40°C,Good,Good,30%,Active,75%,Warning
WG00238,SW,South-West,BOXN,40°C,Good,Good,80%,Active,99%,Healthy
WG00239,SE,South-East,Tank,32°C,Good,Good,48%,Weak,85%,Warning
WG00240,EW,East-West,BTPN,28°C,Good,Fair,55%,Active,77%,Warning
WG00241,NE,North-East,BOXN,32°C,Good,Fair,57%,Offline,77%,Warning
WG00242,SW,South-West,BTPN,52°C,Worn,Fair,84%,Active,74%,Warning
WG00243,N,North,BOXN,45°C,Worn,Critical,81%,Active,47%,Critical
WG00244,SE,South-East,BTPN,52°C,Fair,Good,79%,Active,87%,Warning
WG00245,ES,East-South,BCN,50°C,Worn,Good,74%,Offline,77%,Warning
WG00246,N,North,BTPN,31°C,Good,Good,73%,Offline,95%,Healthy
WG00247,W,West,Hopper,28°C,Good,Worn,62%,Active,77%,Warning
WG00248,ES,East-South,Tank,26°C,Good,Fair,26%,Offline,67%,Critical
WG00249,NW,North-West,Hopper,51°C,Worn,Fair,31%,Active,49%,Critical
WG00250,SW,South-West,Tank,27°C,Fair,Good,61%,Active,87%,Warning
WG00251,ES,East-South,Tank,33°C,Fair,Fair,53%,Active,69%,Critical
WG00252,NE,North-East,BOXN,38°C,Fair,Worn,42%,Active,59%,Critical
WG00253,EW,East-West,Hopper,33°C,Fair,Good,64%,Active,87%,Warning
WG00254,NW,North-West,Covered,29°C,Good,Good,41%,Active,85%,Warning
WG00255,WN,West-North,BCN,23°C,Good,Fair,47%,Weak,77%,Warning
WG00256,S,South,Hopper,34°C,Good,Worn,71%,Active,77%,Warning
WG00257,NE,North-East,Hopper,48°C,Worn,Worn,57%,Offline,49%,Critical
WG00258,EW,East-West,Covered,32°C,Fair,Good,62%,Active,87%,Warning
WG00259,S,South,BTPN,22°C,Good,Critical,34%,Offline,40%,Critical
WG00260,EW,East-West,BOXN,40°C,Critical,Worn,75%,Offline,42%,Critical
WG00261,S,South,Flat,33°C,Good,Good,71%,Offline,95%,Healthy
WG00262,W,West,BTPN,46°C,Good,Good,58%,Active,85%,Warning
WG00263,NW,North-West,Hopper,48°C,Good,Worn,58%,Weak,67%,Critical
WG00264,NW,North-West,BOXN,31°C,Fair,Good,38%,Active,67%,Critical
WG00265,S,South,Tank,29°C,Good,Fair,96%,Active,92%,Healthy
WG00266,E,East,Hopper,27°C,Worn,Good,84%,Active,82%,Warning
WG00267,WN,West-North,Covered,33°C,Good,Good,42%,Offline,85%,Warning
WG00268,NE,North-East,BCN,55°C,Good,Worn,39%,Active,57%,Critical
WG00269,NW,North-West,BTPN,26°C,Good,Worn,83%,Active,82%,Warning
WG00270,SW,South-West,Tank,46°C,Good,Fair,94%,Active,92%,Healthy
WG00271,ES,East-South,Flat,48°C,Fair,Worn,78%,Active,69%,Critical
WG00272,NS,North-South,BOXN,27°C,Good,Good,60%,Offline,95%,Healthy
WG00273,ES,East-South,Covered,40°C,Good,Good,81%,Active,99%,Healthy
WG00274,S,South,BTPN,31°C,Good,Critical,72%,Offline,60%,Critical
WG00275,E,East,Tank,31°C,Good,Good,70%,Offline,95%,Healthy
WG00276,EW,East-West,Tank,24°C,Good,Good,83%,Active,99%,Healthy
WG00277,N,North,Flat,42°C,Good,Good,27%,Offline,75%,Warning
WG00278,NE,North-East,Hopper,24°C,Fair,Good,41%,Active,77%,Warning
WG00279,NS,North-South,Covered,25°C,Good,Good,95%,Offline,99%,Healthy
WG00280,S,South,BTPN,52°C,Good,Good,54%,Weak,85%,Warning
WG00281,NW,North-West,BOXN,44°C,Good,Critical,25%,Offline,40%,Critical
WG00282,S,South,BCN,38°C,Good,Good,94%,Active,99%,Healthy
WG00283,S,South,BTPN,23°C,Good,Good,28%,Offline,75%,Warning
WG00284,SE,South-East,BCN,52°C,Good,Good,55%,Active,85%,Warning
WG00285,S,South,Tank,24°C,Fair,Good,41%,Active,77%,Warning
WG00286,N,North,Covered,53°C,Good,Good,85%,Active,99%,Healthy
WG00287,WN,West-North,Flat,40°C,Good,Worn,82%,Offline,82%,Warning
WG00288,NE,North-East,Hopper,36°C,Fair,Worn,30%,Active,49%,Critical
WG00289,EW,East-West,BOXN,23°C,Good,Critical,63%,Active,60%,Critical
WG00290,SE,South-East,BOXN,53°C,Worn,Good,86%,Active,82%,Warning
WG00291,N,North,Flat,41°C,Good,Good,81%,Active,99%,Healthy
WG00292,S,South,Covered,55°C,Good,Fair,33%,Active,67%,Critical
WG00293,WN,West-North,Flat,33°C,Good,Fair,66%,Offline,87%,Warning
WG00294,SW,South-West,Tank,40°C,Good,Fair,62%,Active,87%,Warning
WG00295,N,North,BTPN,45°C,Worn,Fair,39%,Active,49%,Critical
WG00296,WN,West-North,BTPN,45°C,Good,Worn,52%,Active,67%,Critical
WG00297,S,South,Covered,43°C,Good,Fair,83%,Active,92%,Healthy
WG00298,SE,South-East,Flat,40°C,Fair,Good,65%,Active,87%,Warning
WG00299,EW,East-West,Flat,40°C,Good,Worn,85%,Offline,82%,Warning
WG00300,NW,North-West,BOXN,50°C,Good,Fair,36%,Active,67%,Critical
WG00301,WN,West-North,BTPN,54°C,Good,Fair,41%,Offline,77%,Warning
WG00302,NW,North-West,Tank,34°C,Good,Fair,96%,Active,92%,Healthy
WG00303,NW,North-West,Covered,54°C,Worn,Fair,79%,Offline,69%,Critical
WG00304,NE,North-East,Tank,20°C,Good,Good,64%,Active,95%,Healthy
WG00305,S,South,BOXN,29°C,Good,Good,86%,Active,99%,Healthy
WG00306,ES,East-South,BCN,51°C,Good,Good,72%,Active,95%,Healthy
WG00307,NS,North-South,BOXN,29°C,Worn,Critical,79%,Active,42%,Critical
WG00308,SW,South-West,Flat,21°C,Good,Worn,96%,Offline,82%,Warning
WG00309,S,South,Flat,50°C,Good,Good,59%,Active,85%,Warning
WG00310,W,West,Covered,51°C,Good,Good,68%,Active,95%,Healthy
WG00311,ES,East-South,Flat,47°C,Good,Fair,76%,Offline,87%,Warning
WG00312,SW,South-West,BOXN,38°C,Fair,Good,36%,Active,67%,Critical
WG00313,N,North,BCN,48°C,Good,Good,68%,Active,95%,Healthy
WG00314,S,South,Hopper,52°C,Good,Worn,97%,Active,82%,Warning
WG00315,NE,North-East,BTPN,44°C,Fair,Good,31%,Active,67%,Critical
WG00316,NE,North-East,Tank,47°C,Fair,Good,87%,Active,92%,Healthy
WG00317,SE,South-East,BTPN,29°C,Good,Good,90%,Active,99%,Healthy
WG00318,SW,South-West,BOXN,22°C,Good,Good,87%,Active,99%,Healthy
WG00319,NE,North-East,BTPN,31°C,Good,Good,32%,Active,75%,Warning
WG00320,S,South,BCN,51°C,Fair,Good,42%,Active,77%,Warning
WG00321,SW,South-West,Tank,21°C,Fair,Good,88%,Active,92%,Healthy
WG00322,E,East,BCN,42°C,Good,Worn,54%,Offline,67%,Critical
WG00323,WN,West-North,BCN,33°C,Good,Worn,70%,Active,77%,Warning
WG00324,S,South,BCN,39°C,Good,Good,27%,Active,75%,Warning
WG00325,N,North,BTPN,46°C,Good,Fair,79%,Active,87%,Warning
WG00326,SE,South-East,Flat,48°C,Good,Critical,39%,Offline,40%,Critical
WG00327,SE,South-East,Covered,51°C,Worn,Fair,46%,Active,59%,Critical
WG00328,NW,North-West,BCN,23°C,Good,Worn,71%,Active,77%,Warning
WG00329,S,South,BOXN,36°C,Good,Good,76%,Active,95%,Healthy
WG00330,SE,South-East,Hopper,40°C,Good,Fair,68%,Active,87%,Warning
WG00331,SW,South-West,BTPN,48°C,Good,Good,39%,Active,75%,Warning
WG00332,SW,South-West,Flat,42°C,Fair,Worn,69%,Active,69%,Critical
WG00333,NW,North-West,Flat,53°C,Good,Good,55%,Active,85%,Warning
WG00334,EW,East-West,Covered,21°C,Fair,Fair,44%,Active,69%,Critical
WG00335,NW,North-West,Covered,35°C,Good,Good,88%,Active,99%,Healthy
WG00336,S,South,Tank,23°C,Fair,Critical,97%,Active,57%,Critical
WG00337,NS,North-South,BOXN,55°C,Good,Good,65%,Active,95%,Healthy
WG00338,S,South,BTPN,30°C,Fair,Fair,63%,Active,79%,Warning
WG00339,NW,North-West,Flat,27°C,Good,Good,34%,Offline,75%,Warning
WG00340,NS,North-South,BOXN,41°C,Good,Good,32%,Active,75%,Warning
WG00341,NW,North-West,BTPN,23°C,Fair,Good,36%,Active,67%,Critical
WG00342,ES,East-South,Covered,48°C,Critical,Fair,95%,Active,57%,Critical
WG00343,SW,South-West,BTPN,30°C,Fair,Good,98%,Active,92%,Healthy
WG00344,W,West,Flat,53°C,Critical,Good,44%,Active,50%,Critical
WG00345,E,East,Hopper,36°C,Critical,Good,68%,Active,60%,Critical
WG00346,SW,South-West,Covered,31°C,Good,Good,30%,Active,75%,Warning
